@relation 'pacmanwithfood-weka.filters.unsupervised.attribute.Remove-R1-2,11-18,31-34'

@attribute goWest {T,F}
@attribute goEast {T,F}
@attribute goNorth {T,F}
@attribute goSouth {T,F}
@attribute ghost1 {T,F}
@attribute ghost2 {T,F}
@attribute ghost3 {T,F}
@attribute ghost4 {T,F}
@attribute disttoghost1 {0,1,2,3}
@attribute disttoghost2 {0,1,2,3}
@attribute disttoghost3 {0,1,2,3}
@attribute disttoghost4 {0,1,2,3}
@attribute direction_ghost1 {West,Stop,East,North,South}
@attribute direction_ghost2 {West,Stop,East,North,South}
@attribute direction_ghost3 {West,Stop,East,North,South}
@attribute direction_ghost4 {West,Stop,East,North,South}
@attribute best_dir_to_g1 {West,East,North,South,None}
@attribute best_dir_to_g2 {West,East,North,South,None}
@attribute best_dir_to_g3 {West,East,North,South,None}
@attribute best_dir_to_g4 {West,East,North,South,None}
@attribute direction {West,East,North,South}

@data
T,F,T,T,F,T,T,T,3,0,1,2,Stop,Stop,Stop,Stop,None,South,North,North,South
T,F,T,F,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,North,North,North
T,F,T,T,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,North,North,North
T,F,T,T,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,North,North,North
T,F,T,T,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,North,North,North
T,F,T,T,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,North,North,North
T,F,T,T,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,North,North,North
T,F,T,T,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,North,North,North
T,F,T,T,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,North,North,North
T,F,T,T,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,North,North,North
T,T,F,T,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,East,East,East
T,T,F,F,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,East,East,East
T,T,F,T,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,East,East,East
T,T,T,T,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,South,North,South
T,T,T,T,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,South,North,South
T,T,T,T,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,South,North,South
T,F,T,T,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,South,North,South
T,T,T,T,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,South,North,South
T,F,T,T,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,South,North,South
T,T,T,T,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,East,North,East
T,T,F,F,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,East,West,East
T,T,F,F,F,F,T,T,2,3,0,1,Stop,Stop,Stop,Stop,None,None,East,West,East
